DOR Code,Municipality,County,Year,Population,DOR Income,DOR Income Per Capita,EQV,EQV Per Capita,Opiod Deaths,Democrat,Republican,Unemployment
30,Beverly,ESSEX,1/1/2016,"40,664","1,565,227,000","38,492","5,684,015,700","139,780",28,59.20%,31.80%,3.39
31,Billerica,MIDDLESEX,1/1/2016,"41,888","1,320,293,000","31,520","5,566,356,800","132,887",9,61.00%,32.20%,3.69
32,Blackstone,WORCESTER,1/1/2016,"9,079","236,886,000","26,092","843,990,300","92,961",3,46.50%,48%,4.43
33,Blandford,HAMPDEN,1/1/2016,"1,246","34,811,000","27,938","172,518,200","138,458",0,41.20%,51.80%,3.98
34,Bolton,WORCESTER,1/1/2016,"5,075","315,977,000","62,261","933,040,100","183,850",1,36.80%,58.00%,2.80
35,Boston,SUFFOLK,1/1/2016,"645,966","25,282,673,000","39,139","110,810,609,300","171,542",265,58.90%,32.30%,3.53
36,Bourne,BARNSTABLE,1/1/2016,"19,733","616,131,000","31,223","4,220,554,100","213,883",6,81.70%,14.20%,4.46
37,Boxborough,MIDDLESEX,1/1/2016,"5,137","276,703,000","53,865","998,009,700","194,279",0,45.50%,49.10%,3.04
38,Boxford,ESSEX,1/1/2016,"8,163","720,555,000","88,271","1,613,407,100","197,649",0,67.70%,25.70%,2.57
39,Boylston,WORCESTER,1/1/2016,"4,431","216,600,000","48,883","625,053,300","141,064",0,49.30%,44.10%,3.42
40,Braintree,NORFOLK,1/1/2016,"36,727","1,350,544,000","36,773","5,574,551,500","151,783",7,51.60%,40.80%,3.59
41,Brewster,BARNSTABLE,1/1/2016,"9,754","282,238,000","28,936","3,545,641,200","363,506",1,52.50%,42.50%,4.02
42,Bridgewater,PLYMOUTH,1/1/2016,"26,506","724,184,000","27,322","2,412,842,700","91,030",2,57.90%,36.00%,3.92
43,Brimfield,HAMPDEN,1/1/2016,"3,708","115,390,000","31,119","395,322,100","106,613",0,44.60%,49.20%,3.79
44,Brockton,PLYMOUTH,1/1/2016,"94,089","1,704,537,000","18,116","5,739,735,500","61,003",70,39%,54.10%,5.28
45,Brookfield,WORCESTER,1/1/2016,"3,381","81,687,000","24,161","255,456,800","75,557",0,71.50%,24.80%,4.23
46,Brookline,NORFOLK,1/1/2016,"59,128","4,126,032,000","69,781","17,051,417,000","288,381",2,39.90%,52.80%,2.20
47,Buckland,FRANKLIN,1/1/2016,"1,889","37,235,454","19,712","213,003,400","112,760",0,84.90%,11.10%,2.56
48,Burlington,MIDDLESEX,1/1/2016,"25,463","976,577,000","38,353","5,185,943,200","203,666",13,68.50%,22.50%,3.00
49,Cambridge,MIDDLESEX,1/1/2016,"107,289","5,856,595,000","54,587","29,733,817,500","277,138",41,55%,39.70%,2.49
50,Canton,NORFOLK,1/1/2016,"22,221","1,154,974,000","51,977","4,083,657,900","183,775",4,89.20%,6.50%,3.36
51,Carlisle,MIDDLESEX,1/1/2016,"5,028","537,906,000","106,982","1,241,047,500","246,827",0,57.30%,37.40%,3.05
52,Carver,PLYMOUTH,1/1/2016,"11,494","313,985,000","27,317","1,134,092,700","98,668",1,70.40%,22.40%,3.96
53,Charlemont,FRANKLIN,1/1/2016,"1,251","26,129,000","20,886","130,454,200","104,280",0,40.90%,52.00%,3.79
54,Charlton,WORCESTER,1/1/2016,"13,175","430,889,000","32,705","1,413,260,000","107,268",1,58.20%,32.50%,3.75
55,Chatham,BARNSTABLE,1/1/2016,"6,131","291,647,000","47,569","6,196,588,000","1,010,698",0,38.00%,54.10%,4.67
56,Chelmsford,MIDDLESEX,1/1/2016,"34,722","1,493,965,000","43,026","4,733,578,400","136,328",3,53.50%,40.10%,3.33
57,Chelsea,SUFFOLK,1/1/2016,"37,670","555,072,000","14,735","2,234,376,700","59,314",10,54.20%,39.10%,3.60
58,Cheshire,BERKSHIRE,1/1/2016,"3,192","82,973,000","25,994","297,594,300","93,231",0,80%,16.80%,4.87
59,Chester,HAMPDEN,1/1/2016,"1,360","28,836,000","21,203","122,891,100","90,361",0,53.40%,40.40%,4.21
60,Chesterfield,HAMPSHIRE,1/1/2016,"1,239","22,931,000","18,508","151,017,800","121,887",0,35.10%,55%,3.94
61,Chicopee,HAMPDEN,1/1/2016,"55,717","1,021,325,000","18,331","3,824,974,200","68,650",16,53.50%,36.00%,5.15
62,Chilmark,DUKES,1/1/2016,913,"52,411,000","57,405","3,238,385,900","3,546,973",0,52.10%,42%,4.22
63,Clarksburg,BERKSHIRE,1/1/2016,"1,679","32,380,000","19,285","124,331,300","74,051",0,80.90%,12.30%,4.63
64,Clinton,WORCESTER,1/1/2016,"13,697","358,114,000","26,145","1,076,951,500","78,627",6,58.10%,37.20%,4.54
65,Cohasset,NORFOLK,1/1/2016,"8,273","796,681,000","96,299","2,622,371,300","316,979",1,53.70%,39.30%,3.01
66,Colrain,FRANKLIN,1/1/2016,"1,661","40,330,000","24,281","169,419,700","101,999",0,60.10%,33.80%,4.01
67,Concord,MIDDLESEX,1/1/2016,"19,285","2,298,602,000","119,191","5,540,602,300","287,301",2,57.60%,28.80%,2.88
68,Conway,FRANKLIN,1/1/2016,"1,902","65,463,000","34,418","251,195,300","132,069",0,76%,18.00%,3.04
69,Cummington,HAMPSHIRE,1/1/2016,867,"23,608,000","27,230","129,127,900","148,936",0,72.10%,20.80%,4.73
70,Dalton,BERKSHIRE,1/1/2016,"6,725","185,946,000","27,650","597,077,300","88,785",1,60.30%,28.20%,3.77
71,Danvers,ESSEX,1/1/2016,"27,483","981,773,000","35,723","4,163,499,300","151,494",3,64.80%,28%,3.28
72,Dartmouth,BRISTOL,1/1/2016,"34,557","1,011,855,000","29,281","4,985,767,900","144,277",7,51.20%,43.10%,4.47
73,Dedham,NORFOLK,1/1/2016,"25,299","1,118,682,000","44,218","4,205,403,500","166,228",4,53.00%,41.80%,3.36
74,Deerfield,FRANKLIN,1/1/2016,"5,089","178,567,000","35,089","680,644,100","133,748",0,60.90%,34%,3.32
75,Dennis,BARNSTABLE,1/1/2016,"14,067","401,886,000","28,569","6,250,958,500","444,370",4,66.00%,26.10%,5.62
76,Dighton,BRISTOL,1/1/2016,"7,214","210,166,000","29,133","838,835,300","116,279",2,53.40%,41.00%,3.98
77,Douglas,WORCESTER,1/1/2016,"8,624","271,156,000","31,442","902,244,800","104,620",2,40.20%,53.90%,3.52
78,Dover,NORFOLK,1/1/2016,"5,797","1,249,842,000","215,602","2,310,390,900","398,549",0,36.90%,55.60%,2.73
79,Dracut,MIDDLESEX,1/1/2016,"30,687","896,546,000","29,216","2,920,269,000","95,163",4,59.00%,32.60%,3.80
80,Dudley,WORCESTER,1/1/2016,"11,516","289,388,000","25,129","885,262,100","76,872",1,41.50%,52.10%,4.22
81,Dunstable,MIDDLESEX,1/1/2016,"3,346","163,678,000","48,918","467,427,400","139,697",0,39.50%,53.70%,3.05
82,Duxbury,PLYMOUTH,1/1/2016,"15,288","1,185,774,000","77,562","3,475,390,900","227,328",2,48.70%,42.80%,3.28
83,East Bridgewater,PLYMOUTH,1/1/2016,"14,090","403,260,000","28,620","1,506,014,000","106,885",1,52.90%,40.50%,3.63
84,East Brookfield,WORCESTER,1/1/2016,"2,183","60,947,000","27,919","207,396,100","95,005",0,40.80%,52.50%,4.27
85,East Longmeadow,HAMPDEN,1/1/2016,"16,022","604,394,000","37,723","1,829,457,200","114,184",1,35.80%,57%,3.53
86,Eastham,BARNSTABLE,1/1/2016,"4,932","152,870,000","30,996","2,823,221,800","572,429",0,45.20%,49.10%,5.43
87,Easthampton,HAMPSHIRE,1/1/2016,"15,971","408,288,000","25,564","1,482,339,500","92,814",2,61.30%,33.30%,3.51
88,Easton,BRISTOL,1/1/2016,"23,753","1,024,285,000","43,122","3,008,417,200","126,654",3,63.10%,30%,3.42
89,Edgartown,DUKES,1/1/2016,"4,278","192,031,000","44,888","6,954,386,400","1,625,616",0,49.90%,44.30%,6.06
90,Egremont,BERKSHIRE,1/1/2016,"1,224","31,536,000","25,765","409,767,000","334,777",0,65.70%,28.70%,3.03
91,Erving,FRANKLIN,1/1/2016,"1,796","31,044,000","17,285","659,098,000","366,981",0,75.00%,17.80%,3.33
92,Essex,ESSEX,1/1/2016,"3,606","185,563,000","51,460","766,992,800","212,699",0,50.90%,38%,3.32
93,Everett,MIDDLESEX,1/1/2016,"42,935","771,145,000","17,961","3,794,616,400","88,380",40,57.00%,34.00%,3.49
94,Fairhaven,BRISTOL,1/1/2016,"16,065","409,934,000","25,517","1,947,395,200","121,220",5,68.20%,28.40%,4.72
95,Fall River,BRISTOL,1/1/2016,"88,697","1,328,891,000","14,982","5,362,788,000","60,462",85,49.90%,44.80%,6.70
96,Falmouth,BARNSTABLE,1/1/2016,"31,644","1,083,324,000","34,235","11,548,755,700","364,959",18,58.60%,36.60%,4.86
97,Fitchburg,WORCESTER,1/1/2016,"40,383","680,311,000","16,846","2,197,098,300","54,407",11,58.00%,36.90%,5.21
98,Florida,BERKSHIRE,1/1/2016,744,"11,534,000","15,503","121,646,500","163,503",0,56%,36.70%,5.31
99,Foxborough,NORFOLK,1/1/2016,"17,257","750,093,000","43,466","2,702,432,200","156,599",5,49.00%,43.80%,3.41
100,Framingham,MIDDLESEX,1/1/2016,"70,441","2,145,257,000","30,455","7,611,237,700","108,051",20,51.30%,41.90%,2.94
101,Franklin,NORFOLK,1/1/2016,"32,581","1,338,908,000","41,095","4,528,882,700","139,004",5,70.30%,24.40%,3.40
102,Freetown,BRISTOL,1/1/2016,"9,035","280,090,000","31,001","1,182,600,100","130,891",0,53.80%,40%,4.35
103,Gardner,WORCESTER,1/1/2016,"20,354","373,252,000","18,338","1,196,381,700","58,779",10,41.20%,53.90%,5.32
104,Aquinnah,DUKES,1/1/2016,322,"5,863,000","18,208","786,395,800","2,442,223",0,49.40%,41.80%,2.44
105,Georgetown,ESSEX,1/1/2016,"8,468","346,073,000","40,868","1,172,756,500","138,493",1,47%,45.60%,3.04
106,Gill,FRANKLIN,1/1/2016,"1,491","33,466,000","22,445","147,440,600","98,887",0,63%,27.90%,2.99
107,Gloucester,ESSEX,1/1/2016,"29,393","978,138,000","33,278","5,495,341,100","186,961",9,60.60%,33.40%,4.74
108,Goshen,HAMPSHIRE,1/1/2016,"1,058","13,618,000","12,871","145,887,900","137,890",0,58.70%,34.40%,2.60
109,Gosnold,DUKES,1/1/2016,76,"1,428,000","18,789","231,698,500","3,048,664",0,55.40%,41.50%,2.13
110,Grafton,WORCESTER,1/1/2016,"18,155","748,670,000","41,238","2,278,097,900","125,480",0,53.80%,39.00%,3.41
111,Granby,HAMPSHIRE,1/1/2016,"6,290","176,567,000","28,071","582,129,300","92,548",1,45%,47%,3.97
112,Granville,HAMPDEN,1/1/2016,"1,612","47,589,000","29,522","206,163,900","127,893",0,35.00%,57.20%,4.46
113,Great Barrington,BERKSHIRE,1/1/2016,"6,996","252,389,000","36,076","1,353,030,900","193,401",1,78.00%,16%,3.78
114,Greenfield,FRANKLIN,1/1/2016,"17,492","348,046,000","19,897","1,361,745,600","77,850",5,66.70%,25.20%,3.41
115,Groton,MIDDLESEX,1/1/2016,"11,115","684,548,000","61,588","1,533,032,100","137,925",0,59.50%,32.90%,3.05
116,Groveland,ESSEX,1/1/2016,"7,019","236,798,000","33,737","800,826,600","114,094",1,45.60%,48.40%,2.85
117,Hadley,HAMPSHIRE,1/1/2016,"5,271","141,763,000","26,895","980,443,400","186,007",2,66.60%,27.10%,3.24
118,Halifax,PLYMOUTH,1/1/2016,"7,606","219,387,000","28,844","791,420,800","104,052",0,40.80%,52.70%,3.70
119,Hamilton,ESSEX,1/1/2016,"8,131","549,000,000","67,519","1,312,968,700","161,477",1,59%,32.90%,2.83
120,Hampden,HAMPDEN,1/1/2016,"5,179","200,657,000","38,744","566,450,600","109,375",0,39.30%,54.40%,3.82
121,Hancock,BERKSHIRE,1/1/2016,717,"6,179,000","8,618","309,222,500","431,273",1,50%,41.70%,3.23
122,Hanover,PLYMOUTH,1/1/2016,"14,280","658,795,000","46,134","2,383,514,700","166,913",1,44.00%,50.40%,3.01
123,Hanson,PLYMOUTH,1/1/2016,"10,324","312,002,000","30,221","1,153,100,300","111,691",0,40.90%,52.60%,3.68
124,Hardwick,WORCESTER,1/1/2016,"2,997","43,520,000","14,521","226,221,100","75,483",1,41.00%,51.40%,4.21
125,Harvard,WORCESTER,1/1/2016,"6,569","394,002,000","59,979","1,122,008,200","170,804",0,69.00%,24.70%,2.83
126,Harwich,BARNSTABLE,1/1/2016,"12,202","415,569,000","34,057","4,818,012,600","394,854",1,54.70%,39.70%,5.18
127,Hatfield,HAMPSHIRE,1/1/2016,"3,282","96,539,000","29,415","523,102,800","159,385",0,61.60%,31.80%,3.76
128,Haverhill,ESSEX,1/1/2016,"62,088","1,552,840,000","25,010","5,239,268,400","84,385",38,52.70%,41.20%,4.05
129,Hawley,FRANKLIN,1/1/2016,335,"5,105,000","15,239","48,930,700","146,062",0,54.40%,34.70%,3.81
130,Heath,FRANKLIN,1/1/2016,703,"8,451,000","12,021","87,647,700","124,677",0,54.80%,37.10%,3.33
131,Hingham,PLYMOUTH,1/1/2016,"22,740","2,058,715,000","90,533","5,981,636,700","263,045",1,59.80%,34.30%,3.18
132,Hinsdale,BERKSHIRE,1/1/2016,"1,994","55,141,000","27,653","305,189,000","153,054",0,55.00%,36.60%,5.43
133,Holbrook,NORFOLK,1/1/2016,"10,952","286,368,000","26,148","1,052,735,700","96,123",1,51.70%,42.30%,4.54
134,Holden,WORCESTER,1/1/2016,"17,995","670,378,000","37,254","1,988,050,400","110,478",2,50.70%,42.00%,3.33
135,Holland,HAMPDEN,1/1/2016,"2,495","65,387,000","26,207","315,079,700","126,284",0,35.60%,54.00%,4.08
136,Holliston,MIDDLESEX,1/1/2016,"14,162","671,540,000","47,418","2,097,528,000","148,110",1,62.90%,31%,3.16
137,Holyoke,HAMPDEN,1/1/2016,"40,249","599,539,000","14,896","2,109,043,500","52,400",13,70.30%,24.30%,6.06
138,Hopedale,WORCESTER,1/1/2016,"5,954","215,016,000","36,113","643,281,000","108,042",2,52.00%,40.70%,3.61
139,Hopkinton,MIDDLESEX,1/1/2016,"15,918","1,153,327,000","72,454","3,094,928,200","194,429",1,60.00%,32.60%,3.15
140,Hubbardston,WORCESTER,1/1/2016,"4,464","135,825,000","30,427","427,290,600","95,719",0,39.20%,51.80%,3.60
141,Hudson,MIDDLESEX,1/1/2016,"19,586","629,641,000","32,148","2,227,815,100","113,745",2,57.20%,36.00%,3.90
142,Hull,PLYMOUTH,1/1/2016,"10,332","366,473,000","35,470","1,905,813,500","184,457",3,57.90%,37.10%,4.24
143,Huntington,HAMPSHIRE,1/1/2016,"2,168","62,396,000","28,780","200,117,700","92,305",0,39.10%,52%,3.89
144,Ipswich,ESSEX,1/1/2016,"13,574","612,091,000","45,093","2,491,919,100","183,580",2,57.60%,35.40%,3.16
145,Kingston,PLYMOUTH,1/1/2016,"12,819","450,202,000","35,120","1,722,383,000","134,362",0,46.20%,47.60%,3.67
146,Lakeville,PLYMOUTH,1/1/2016,"11,144","368,987,000","33,111","1,472,871,200","132,167",1,39.50%,54.10%,3.84
147,Lancaster,WORCESTER,1/1/2016,"8,054","243,431,000","30,225","848,120,900","105,304",1,48.00%,43.10%,3.03
148,Lanesborough,BERKSHIRE,1/1/2016,"3,037","69,997,000","23,048","419,083,500","137,993",1,58.60%,35.00%,4.15
149,Lawrence,ESSEX,1/1/2016,"77,657","969,477,000","12,484","3,103,026,400","39,958",60,82.40%,14.70%,7.24
150,Lee,BERKSHIRE,1/1/2016,"5,921","145,481,000","24,570","911,530,300","153,949",0,65.20%,28.20%,3.68
151,Leicester,WORCESTER,1/1/2016,"11,243","310,533,000","27,620","900,217,100","80,069",1,43.00%,50.10%,4.25
152,Lenox,BERKSHIRE,1/1/2016,"4,983","203,038,000","40,746","1,205,548,200","241,932",0,74.70%,19%,4.68
153,Leominster,WORCESTER,1/1/2016,"41,002","1,034,110,000","25,221","3,260,316,100","79,516",31,50.70%,42.40%,4.51
154,Leverett,FRANKLIN,1/1/2016,"1,861","67,932,000","36,503","273,713,900","147,079",0,79.00%,14.70%,3.03
155,Lexington,MIDDLESEX,1/1/2016,"32,650","3,385,117,000","103,679","9,270,431,600","283,934",0,77.10%,18.20%,2.84
156,Leyden,FRANKLIN,1/1/2016,721,"23,434,000","32,502","85,506,200","118,594",0,63%,29%,2.55
157,Lincoln,MIDDLESEX,1/1/2016,"6,565","901,128,000","137,262","1,904,656,000","290,123",0,77.70%,16.40%,2.71
158,Littleton,MIDDLESEX,1/1/2016,"9,246","404,887,000","43,791","1,526,463,100","165,094",0,59.70%,32.50%,3.22
159,Longmeadow,HAMPDEN,1/1/2016,"15,882","1,020,490,000","64,255","2,039,169,100","128,395",3,57.10%,37.20%,3.19
160,Lowell,MIDDLESEX,1/1/2016,"108,861","1,977,818,000","18,168","6,552,635,400","60,193",79,65.00%,29.40%,4.75
161,Ludlow,HAMPDEN,1/1/2016,"21,451","518,896,000","24,190","1,947,906,200","90,807",3,44.20%,50.30%,5.46
162,Lunenburg,WORCESTER,1/1/2016,"10,969","365,787,000","33,347","1,183,701,600","107,913",0,47.30%,45.30%,3.75
163,Lynn,ESSEX,1/1/2016,"91,589","1,628,966,000","17,786","5,644,501,400","61,629",45,67.50%,28.40%,4.24
164,Lynnfield,ESSEX,1/1/2016,"12,395","768,162,000","61,974","2,496,773,700","201,434",0,43.30%,52%,2.82
165,Malden,MIDDLESEX,1/1/2016,"60,509","1,321,450,000","21,839","5,218,790,200","86,248",8,70.80%,24.90%,3.54
166,Manchester By The Sea,ESSEX,1/1/2016,"5,249","619,344,000","117,993","2,276,185,500","433,642",1,64.90%,27.60%,3.18
167,Mansfield,BRISTOL,1/1/2016,"23,566","973,560,000","41,312","3,215,394,000","136,442",6,53.70%,39.70%,3.39
168,Marblehead,ESSEX,1/1/2016,"20,187","1,534,358,000","76,007","5,323,866,200","263,727",2,64.10%,30%,3.07
169,Marion,PLYMOUTH,1/1/2016,"4,919","248,631,000","50,545","1,616,615,400","328,647",1,57.80%,36.00%,3.49
170,Marlborough,MIDDLESEX,1/1/2016,"39,414","1,203,665,000","30,539","4,660,560,800","118,246",6,59.80%,33.70%,3.31
171,Marshfield,PLYMOUTH,1/1/2016,"25,509","1,018,536,000","39,928","4,400,432,600","172,505",2,47.50%,47%,3.42
172,Mashpee,BARNSTABLE,1/1/2016,"14,068","431,520,000","30,674","4,718,738,000","335,424",4,50.80%,43.90%,4.47
173,Mattapoisett,PLYMOUTH,1/1/2016,"6,172","302,243,000","48,970","1,619,730,500","262,432",2,50.80%,44.00%,3.96
174,Maynard,MIDDLESEX,1/1/2016,"10,370","348,680,000","33,624","1,184,661,500","114,239",0,65.20%,28.30%,3.14
175,Medfield,NORFOLK,1/1/2016,"12,313","1,030,204,000","83,668","2,399,518,500","194,877",1,60%,32.90%,3.04
176,Medford,MIDDLESEX,1/1/2016,"57,170","1,775,372,000","31,054","7,325,080,700","128,128",15,69.50%,26.20%,3.26
177,Medway,NORFOLK,1/1/2016,"13,053","551,811,000","42,275","1,725,563,100","132,197",1,53.60%,39.40%,3.12
178,Melrose,MIDDLESEX,1/1/2016,"27,690","1,112,419,000","40,174","3,876,434,900","139,994",21,65.20%,29.60%,2.90
179,Mendon,WORCESTER,1/1/2016,"5,904","273,560,000","46,335","808,861,300","137,002",0,44.10%,48.90%,3.45
180,Merrimac,ESSEX,1/1/2016,"6,612","195,663,000","29,592","700,874,100","106,000",0,49.80%,42.80%,3.29
181,Methuen,ESSEX,1/1/2016,"48,514","1,277,622,000","26,335","4,606,562,400","94,953",14,50.80%,44.70%,4.51
182,Middleborough,PLYMOUTH,1/1/2016,"23,601","601,178,000","25,473","2,313,872,400","98,041",3,39.30%,53.80%,4.22
183,Middlefield,HAMPSHIRE,1/1/2016,528,"8,625,000","16,335","66,509,900","125,966",0,52.40%,38.90%,3.49
184,Middleton,ESSEX,1/1/2016,"9,419","402,229,000","42,704","1,718,243,000","182,423",0,42.60%,52.90%,3.30
185,Milford,WORCESTER,1/1/2016,"28,288","857,822,000","30,325","2,908,293,100","102,810",21,55%,39.30%,3.91
186,Millbury,WORCESTER,1/1/2016,"13,399","384,919,000","28,727","1,367,184,400","102,036",3,44.50%,48.70%,3.72
187,Millis,NORFOLK,1/1/2016,"8,047","298,100,000","37,045","1,042,625,800","129,567",3,53.70%,38.80%,3.49
188,Millville,WORCESTER,1/1/2016,"3,210","87,514,000","27,263","252,391,100","78,627",0,38.30%,54%,4.53
189,Milton,NORFOLK,1/1/2016,"27,270","1,721,607,000","63,132","4,586,795,600","168,199",6,68.00%,27.30%,3.49
190,Monroe,FRANKLIN,1/1/2016,121,"695,000","5,744","22,644,600","187,145",0,43.10%,44.80%,4.00
191,Monson,HAMPDEN,1/1/2016,"8,722","222,600,000","25,522","765,209,100","87,733",0,42.30%,49.90%,4.15
192,Montague,FRANKLIN,1/1/2016,"8,377","175,756,000","20,981","783,599,400","93,542",3,65.80%,25%,4.29
193,Monterey,BERKSHIRE,1/1/2016,957,"22,309,000","23,311","473,570,600","494,849",0,77.70%,16.40%,2.94
194,Montgomery,HAMPDEN,1/1/2016,862,"29,516,000","34,241","107,539,100","124,755",0,38.00%,53.60%,3.57
195,Mount Washington,BERKSHIRE,1/1/2016,166,"2,950,000","17,771","84,548,400","509,328",0,73.10%,18.30%,2.33
196,Nahant,ESSEX,1/1/2016,"3,446","196,119,000","56,912","776,257,000","225,263",0,57.80%,37.50%,3.58
197,Nantucket,NANTUCKET,1/1/2016,"10,399","496,873,000","47,781","17,816,255,100","1,713,266",2,65%,29.50%,4.46
198,Natick,MIDDLESEX,1/1/2016,"35,214","1,694,774,000","48,128","6,961,523,100","197,692",2,69.00%,25.40%,2.79
199,Needham,NORFOLK,1/1/2016,"29,736","2,801,114,000","94,199","8,293,426,000","278,902",2,72.30%,22.70%,2.77
200,New Ashford,BERKSHIRE,1/1/2016,226,"5,176,000","22,903","40,193,100","177,846",0,63.10%,24.40%,9.59
201,New Bedford,BRISTOL,1/1/2016,"95,078","1,448,141,000","15,231","5,366,953,500","56,448",63,64%,31.60%,6.80
202,New Braintree,WORCESTER,1/1/2016,"1,024","33,519,000","32,733","112,371,800","109,738",0,40.20%,53.30%,4.48
203,New Marlborough,BERKSHIRE,1/1/2016,"1,497","29,463,000","19,681","511,887,900","341,942",0,66.30%,25.60%,3.16
204,New Salem,FRANKLIN,1/1/2016,"1,002","23,937,000","23,889","109,671,100","109,452",0,56.60%,35.00%,3.38
205,Newbury,ESSEX,1/1/2016,"6,853","348,487,000","50,852","1,282,606,400","187,160",0,55.30%,38.50%,3.54
206,Newburyport,ESSEX,1/1/2016,"17,800","918,141,000","51,581","3,515,476,700","197,499",11,66.20%,27.90%,3.17
207,Newton,MIDDLESEX,1/1/2016,"87,971","9,564,816,000","108,727","22,317,332,900","253,690",15,78.70%,17.00%,3.03
208,Norfolk,NORFOLK,1/1/2016,"11,689","507,999,000","43,460","1,506,629,600","128,893",0,50.20%,42%,3.05
209,North Adams,BERKSHIRE,1/1/2016,"13,533","199,650,000","14,753","735,349,400","54,338",4,65%,28%,6.26
210,North Andover,ESSEX,1/1/2016,"29,217","1,472,835,000","50,410","4,337,534,000","148,459",1,53.70%,40.50%,3.44
211,North Attleborough,BRISTOL,1/1/2016,"28,801","1,018,855,000","35,376","3,505,492,000","121,714",4,47.50%,45.20%,3.64
212,North Brookfield,WORCESTER,1/1/2016,"4,755","110,576,000","23,255","388,948,300","81,798",2,36.00%,56.20%,4.16
213,North Reading,MIDDLESEX,1/1/2016,"15,377","741,585,000","48,227","2,680,139,500","174,295",1,48.50%,45.20%,3.23
214,Northampton,HAMPSHIRE,1/1/2016,"28,495","843,118,000","29,588","3,351,978,800","117,634",14,82.30%,11.70%,3.07
